		Time			Cycle	PC		Insn	Decoded instruction	Register and memory contents
        4570000	         0	80000374	01624c33	xor	x24,x4,x22	  x4:0x00000001 x22:0x00000001 x24=0x00000000
        4590000	         0	80000378	01c4a3b3	slt	x7,x9,x28	  x9:0xf32a7000 x28:0xdff5dd81  x7=0x00000000
        4610000	         0	8000037c	00fa65b3	or	x11,x20,x15	 x20:0xffdff5dd x15:0x00000001 x11=0xffdff5dd
        4630000	         0	80000380	78e0a813	slti	x16,x1,1934	  x1:0x00000001 x16=0x00000001
        4650000	         0	80000384	956d8913	addi	x18,x27,-1706	 x27:0x00000001 x18=0xfffff957
        4670000	         0	80000388	00000013	addi	x0,x0,0	  x0:0x00000000
        4690000	         0	8000038c	0140a433	slt	x8,x1,x20	  x1:0x00000001 x20:0xffdff5dd  x8=0x00000000
        4710000	         0	80000390	00000013	addi	x0,x0,0	  x0:0x00000000
        4730000	         0	80000394	40135c13	srai	x24,x6,0x1	  x6:0xf784a32c x24=0xfbc25196
        4750000	         0	80000398	01215e13	srli	x28,x2,0x12	  x2:0x00000001 x28=0x00000000
        4770000	         0	8000039c	01f247b3	xor	x15,x4,x31	  x4:0x00000001 x31:0x80018ce4 x15=0x80018ce5
        4790000	         0	800003a0	e01bf813	andi	x16,x23,-511	 x23:0xc6530280 x16=0xc6530200
        4810000	         0	800003a4	00698933	add	x18,x19,x6	 x19:0x0000000f  x6:0xf784a32c x18=0xf784a33b
        4830000	         0	800003a8	01bd6fb3	or	x31,x26,x27	 x26:0x00000001 x27:0x00000001 x31=0x00000001
        4850000	         0	800003ac	00000013	addi	x0,x0,0	  x0:0x00000000
        4870000	         0	800003b0	bd6bc493	xori	x9,x23,-1066	 x23:0xc6530280  x9=0x39acf956
        4890000	         0	800003b4	00da8eb3	add	x29,x21,x13	 x21:0x00000000 x13:0x200a23ec x29=0x200a23ec
        4910000	         0	800003b8	01869933	sll	x18,x13,x24	 x13:0x200a23ec x24:0xfbc25196 x18=0xfb000000
        4930000	         0	800003bc	6ca7fc13	andi	x24,x15,1738	 x15:0x80018ce5 x24=0x000004c0
        4950000	         0	800003c0	dc18cf93	xori	x31,x17,-575	 x17:0x00000001 x31=0xfffffdc0
        4970000	         0	800003c4	012e6e33	or	x28,x28,x18	 x28:0x00000000 x18:0xfb000000 x28=0xfb000000
        4990000	         0	800003c8	e0bbbc93	sltiu	x25,x23,-501	 x23:0xc6530280 x25=0x00000001
        5010000	         0	800003cc	01197ab3	and	x21,x18,x17	 x18:0xfb000000 x17:0x00000001 x21=0x00000000
        5030000	         0	800003d0	b055e213	ori	x4,x11,-1275	 x11:0xffdff5dd  x4=0xffffffdd
        5050000	         0	800003d4	dd99fa93	andi	x21,x19,-551	 x19:0x0000000f x21=0x00000009
        5070000	         0	800003d8	01d5d833	srl	x16,x11,x29	 x11:0xffdff5dd x29:0x200a23ec x16=0x000ffdff
        5090000	         0	800003dc	92b29eb7	lui	x29,0x92b29	 x29=0x92b29000
        5110000	         0	800003e0	00fd5293	srli	x5,x26,0xf	 x26:0x00000001  x5=0x00000000
        5130000	         0	800003e4	00c8e7b3	or	x15,x17,x12	 x17:0x00000001 x12:0xdb8202f8 x15=0xdb8202f9
        5150000	         0	800003e8	a7f13b13	sltiu	x22,x2,-1409	  x2:0x00000001 x22=0x00000001
        5170000	         0	800003ec	f099f893	andi	x17,x19,-247	 x19:0x0000000f x17=0x00000009
        5190000	         0	800003f0	0198f8b3	and	x17,x17,x25	 x17:0x00000009 x25:0x00000001 x17=0x00000001
        5210000	         0	800003f4	40025e33	sra	x28,x4,x0	  x4:0xffffffdd  x0:0x00000000 x28=0xffffffdd
        5230000	         0	800003f8	014bd5b3	srl	x11,x23,x20	 x23:0xc6530280 x20:0xffdff5dd x11=0x00000006
        5250000	         0	800003fc	41d9d0b3	sra	x1,x19,x29	 x19:0x0000000f x29:0x92b29000  x1=0x0000000f
        5270000	         0	80000400	004fdd13	srli	x26,x31,0x4	 x31:0xfffffdc0 x26=0x0fffffdc
        5290000	         0	80000404	37abf193	andi	x3,x23,890	 x23:0xc6530280  x3=0x00000200
        5310000	         0	80000408	015b8ab3	add	x21,x23,x21	 x23:0xc6530280 x21:0x00000009 x21=0xc6530289
        5330000	         0	8000040c	01dfcdb3	xor	x27,x31,x29	 x31:0xfffffdc0 x29:0x92b29000 x27=0x6d4d6dc0
        5350000	         0	80000410	00c47db3	and	x27,x8,x12	  x8:0x00000000 x12:0xdb8202f8 x27=0x00000000
        5370000	         0	80000414	29eb0b13	addi	x22,x22,670	 x22:0x00000001 x22=0x0000029f
        5390000	         0	80000418	40445fb3	sra	x31,x8,x4	  x8:0x00000000  x4:0xffffffdd x31=0x00000000
        5410000	         0	8000041c	9d11b093	sltiu	x1,x3,-1583	  x3:0x00000200  x1=0x00000001
        5430000	         0	80000420	40b85cb3	sra	x25,x16,x11	 x16:0x000ffdff x11:0x00000006 x25=0x00003ff7
